"queen","min_mutation","mean_mutation","Q1_mutation","med_mutation","Q3_mutation","max_mutation","sd_mutation"
8,0.75,0.874488020529976,0.8674,0.87823,0.88642,0.906627906976744,0.0186943648457803
9,0.705,0.852739107381384,0.84804,0.85714,0.86358,0.903673469387755,0.0183517068830914
10,0.69552,0.829516987710083,0.82512,0.83776,0.84486,0.86788,0.0254408657751507
11,0.605974025974026,0.817771260509468,0.81496,0.82468,0.83068,0.85518,0.0225299197665871
12,0.68094,0.8094309143,0.8075,0.81468,0.8197,0.84294,0.0190669069709849
13,0.6595,0.800691554666667,0.79906,0.805,0.8095,0.83098,0.0171249187843473
14,0.62414,0.792752994932658,0.79134,0.79648,0.80052,0.82026,0.0156501376699424
15,0.62566,0.786304099173278,0.78478,0.78938,0.7932,0.8115,0.0141785806966038
16,0.61138,0.780457619233333,0.77888,0.78314,0.78676,0.80648,0.0131405321996322
18,0.61831,0.770338687933333,0.76884,0.77256,0.77582,0.79216,0.0118124434782685
20,0.57188,0.762514707933333,0.76102,0.76446,0.76752,0.78346,0.011011202261267
22,0.57583,0.756187904985259,0.75468,0.75792,0.76082,0.77508,0.0102814649334255
24,0.54544,0.751019379933333,0.74964,0.75274,0.75554,0.76916,0.0102140003529896
26,0.54588,0.7467660202,0.74544,0.7484,0.7511,0.76514,0.00993635504150635
32,0.38563,0.737455299086286,0.73638,0.73912,0.74168,0.75732,0.0100081940983692
