"queen","mutation","solution","n","min_generation","mean_generation","wins_mean_generation","Q1_generation","med_generation","Q3_generation","max_generation","sd_generation"
8,"0.95",92,30,1793,4745.53333333333,4527.64,3062,4360,5622.5,10815,2117.49475809852
8,"variable",92,30,5123,15292.9,14611.6266666667,9300,12742,19145.25,42002,8430.12161874884
9,"0.95",352,30,48811,144455.766666667,141786.266666667,90289.25,126781,185413.75,372281,72866.6449423231
9,"variable",352,30,229242,1246214.53333333,1212377.83333333,786913.5,1085905,1407797,3038980,728649.60745855
10,"0.9",724,30,188372,408402.266666667,399987.103333333,332397,389595,500137.75,771208,132969.565164087
10,"variable",724,30,531588,1629892.63333333,1508857.95,1029332.5,1439520.5,1910442.25,6195099,1015293.39755249
11,"0.85",2680,30,2400188,3799795.26666667,3734483.53,3100117,3744996,4391140.25,5933213,897540.889601288
11,"variable",2680,5,6900512,7909269.2,7841688.96,7447077,7690985,8058227,9449545,958318.667838209
12,"0.85",13690,1,9890455,9890455,9890455,9890455,9890455,9890455,9890455,NA
12,"variable",11986,1,9973787,9973787,9973787,9973787,9973787,9973787,9973787,NA
13,"0.8",32128,1,9998058,9998058,9998058,9998058,9998058,9998058,9998058,NA
13,"variable",26308,1,9978215,9978215,9978215,9978215,9978215,9978215,9978215,NA
14,"0.8",41520,1,9996747,9996747,9996747,9996747,9996747,9996747,9996747,NA
14,"variable",29520,1,9999583,9999583,9999583,9999583,9999583,9999583,9999583,NA
15,"0.8",30356,1,9982638,9982638,9982638,9982638,9982638,9982638,9982638,NA
15,"variable",30324,1,9996584,9996584,9996584,9996584,9996584,9996584,9996584,NA
16,"0.8",15016,1,9987788,9987788,9987788,9987788,9987788,9987788,9987788,NA
16,"variable",30132,1,9992266,9992266,9992266,9992266,9992266,9992266,9992266,NA
18,"0.75",16392,1,9997986,9997986,9997986,9997986,9997986,9997986,9997986,NA
18,"variable",27120,1,9998858,9998858,9998858,9998858,9998858,9998858,9998858,NA
20,"0.75",7872,1,9972915,9972915,9972915,9972915,9972915,9972915,9972915,NA
20,"variable",25608,1,9931631,9931631,9931631,9931631,9931631,9931631,9931631,NA
22,"0.7",6008,1,9959712,9959712,9959712,9959712,9959712,9959712,9959712,NA
22,"variable",25376,1,9991089,9991089,9991089,9991089,9991089,9991089,9991089,NA
24,"0.7",6440,1,9929626,9929626,9929626,9929626,9929626,9929626,9929626,NA
24,"variable",24560,1,9998508,9998508,9998508,9998508,9998508,9998508,9998508,NA
26,"0.7",6280,1,9969840,9969840,9969840,9969840,9969840,9969840,9969840,NA
26,"variable",23008,1,9983128,9983128,9983128,9983128,9983128,9983128,9983128,NA
32,"0.65",15216,1,49732320,49732320,49732320,49732320,49732320,49732320,49732320,NA
32,"variable",104080,1,49996701,49996701,49996701,49996701,49996701,49996701,49996701,NA
